,id,name,state_id,country_id,latitude,longitude
185,56665,Kabupaten Tanah Laut,1819,102,-3.88333000,114.86667000
186,56420,Kabupaten Hulu Sungai Selatan,1819,102,-2.75000000,115.20000000
187,56335,Kabupaten Banjar,1819,102,-3.31667000,115.08333000
188,56342,Kabupaten Barito Selatan,1794,102,-1.86667000,114.73333000
189,56415,Kabupaten Gunung Mas,1794,102,-0.95000000,113.50000000
190,56482,Kabupaten Lamandau,1794,102,-1.83828000,111.28690000
191,56469,Kabupaten Kotawaringin Barat,1794,102,-2.40000000,111.73333000
192,56646,Kabupaten Sukamara,1794,102,-2.62675000,111.23681000
193,56601,Kabupaten Pulang Pisau,1794,102,-3.11858000,113.86230000
194,56343,Kabupaten Barito Timur,1794,102,-1.93333000,115.10000000
195,56547,Kabupaten Murung Raya,1794,102,-0.01667000,114.26667000
196,56625,Kabupaten Seruyan,1794,102,-2.33333000,112.25000000
197,56437,Kabupaten Kapuas,1794,102,-2.01667000,114.38333000
198,56777,Kota Palangka Raya,1794,102,-1.76979000,113.73126000
199,56470,Kabupaten Kotawaringin Timur,1794,102,-2.08333000,112.75000000
200,56344,Kabupaten Barito Utara,1794,102,-0.98333000,115.10000000
201,56443,Kabupaten Katingan,1794,102,-2.06667000,113.40000000
202,56358,Kabupaten Berau,1804,102,2.00000000,117.30000000
203,56478,Kabupaten Kutai Timur,1804,102,1.03769000,117.83112000
204,56728,Kota Balikpapan,1804,102,-1.16667000,116.88333000
205,56476,Kabupaten Kutai Barat,1804,102,-0.59417000,115.51575000
206,56581,Kabupaten Paser,1804,102,-1.43517000,116.23535000
207,56793,Kota Samarinda,1804,102,-0.43333000,117.18333000
208,56507,Kabupaten Mahakam Hulu,1804,102,0.37822000,115.38048000
209,56477,Kabupaten Kutai Kartanegara,1804,102,-0.44019000,116.98139000
210,56588,Kabupaten Penajam Paser Utara,1804,102,-1.25000000,116.83333000
211,56745,Kota Bontang,1804,102,0.12526000,117.49603000
212,56381,Kabupaten Bulungan,1824,102,3.00000000,117.16667000
213,56562,Kabupaten Nunukan,1824,102,4.13333000,116.70000000
214,56512,Kabupaten Malinau,1824,102,2.45000000,115.68333000
215,56661,Kabupaten Tana Tidung,1824,102,3.55000000,117.25000000
216,56329,Kabupaten Bangka,1820,102,-1.91667000,105.93333000
217,56331,Kabupaten Bangka Selatan,1820,102,-2.66803000,106.01257000
218,56781,Kota Pangkal Pinang,1820,102,-2.13333000,106.13333000
219,56350,Kabupaten Belitung,1820,102,-2.86667000,107.70000000
